SPECIES,TYPE,PTOLR,NATIVE,TROPHIC,SILT,PIRHALLA,DATE ADDED,REASON,SOURCE,FAM,GENUS,SP_SCI,IN_KEY,APPROX_ID
ALEWIFE,NOTYPE,NOTYPE,N,FF,N,,,,,Clupeidae,Alosa,pseudoharengus,TRUE,FALSE
ALLEGHENY PEARL DACE,OTHRCYPR,NOTYPE,N,IV,Y,,,Common name changed per Page et al. 2023.  Previously Pearl Dace.,,Cyprinidae,Margariscus,margarita,TRUE,FALSE
AMERICAN BROOK LAMPREY,LAMPREY,NOTYPE,N,FF,N,,,,,Petromyzontidae,Lampetra,appendix,TRUE,FALSE
AMERICAN EEL,NOTYPE,NOTYPE,N,GE,N,,,,,Anguillidae,Anguilla,rostrata,TRUE,FALSE
AMERICAN SHAD,NOTYPE,NOTYPE,N,FF,N,,,,,Clupeidae,Alosa,sapidissima,TRUE,FALSE
ATLANTIC SILVERSIDE,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Atherinidae,Menidia,menedia,TRUE,FALSE
BANDED DARTER,DARTER,NOTYPE,I,IS,Y,,,,,Percidae,Etheostoma,zonale,TRUE,FALSE
BANDED KILLIFISH,NOTYPE,NOTYPE,N,IV,N,,,,,Fundulidae,Fundulus,diaphanus,TRUE,FALSE
BANDED SUNFISH,SUNFISH,NOTYPE,N,IV,N,,,,,Centrarchidae,Enneacanthus,obesus,TRUE,FALSE
BLACK CRAPPIE,SUNFISH,NOTYPE,IC,GE,N,,,,,Centrarchidae,Pomoxis,nigromaculatus,TRUE,FALSE
BLACKBANDED SUNFISH,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Centrarchidae,Enneacanthus,chaetodon,TRUE,FALSE
BLACKNOSE DACE,OTHRCYPR,T,N,OM,N,,,,,Cyprinidae,Rhinichthys,obtusus,TRUE,FALSE
BLUE CATFISH,NOTYPE,NOTYPE,IC,OM,N,,2017-10-18,POTENTIAL OCCURRENCE,JENKINS AND BURKHEAD,Ictaluridae,Ictalurus,furcatus,TRUE,FALSE
BLUE RIDGE SCULPIN,SCULPIN,I,N,IS,Y,,,,,Cottidae,Cottus,caeruleomentum,TRUE,FALSE
BLUEBACK HERRING,NOTYPE,NOTYPE,N,IV,N,,,,,Clupeidae,Alosa,aestivalis,TRUE,FALSE
BLUEGILL,SUNFISH,T,IC,IV,N,,,,,Centrarchidae,Lepomis,macrochirus,TRUE,FALSE
BLUEHEAD CHUB,OTHRCYPR,I,I,OM,Y,,2017-10-18,NEW OCCURRENCE,JENKINS AND BURKHEAD,Cyprinidae,Nocomis,leptocephalus,TRUE,FALSE
BLUESPOTTED SUNFISH,SUNFISH,NOTYPE,N,IV,N,,,,,Centrarchidae,Enneacanthus,gloriosus,TRUE,FALSE
BLUNTNOSE MINNOW,OTHRCYPR,T,N,OM,N,,,,,Cyprinidae,Pimephales,notatus,TRUE,FALSE
BRIDLE SHINER,SHINER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Notropis,bifrenatus,TRUE,FALSE
BROOK STICKLEBACK,,,,,,,,,,Gasterosteidae,Culea,inconstans,TRUE,FALSE
BROOK TROUT,NOTYPE,I,N,GE,Y,,,,,Salmonidae,Salvelinus,fontinalis,TRUE,FALSE
BROWN BULLHEAD,NOTYPE,T,N,OM,N,,,,,Ictaluridae,Ameiurus,nebulosus,TRUE,FALSE
BROWN TROUT,NOTYPE,NOTYPE,I,TP,Y,,,,,Salmonidae,Salmo,trutta,TRUE,FALSE
CENTRAL STONEROLLER,OTHRCYPR,I,N,AL,Y,,,,,Cyprinidae,Campostoma,anomalum,TRUE,FALSE
CHAIN PICKEREL,NOTYPE,NOTYPE,IY,TP,N,,,,,Esocidae,Esox,niger,TRUE,FALSE
CHANNEL CATFISH,NOTYPE,NOTYPE,IC,OM,N,,,,,Ictaluridae,Ictalurus,punctatus,TRUE,FALSE
CHEAT MINNOW,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Pararhinichthys,bowersi,TRUE,FALSE
CHECKERED SCULPIN,SCULPIN,NOTYPE,N,IS,Y,,,,,Cottidae,Cottus,sp.,TRUE,FALSE
CHESAPEAKE LOGPERCH,DARTER,NOTYPE,N,IV,Y,,2017-10-18,TAXONOMY CHANGE,,Percidae,Percina,bimaculata,TRUE,FALSE
COASTAL CUTTHROAT TROUT,NOTYPE,NOTYPE,I,TP,Y,,,Common name changed per Page et al. 2023.  Previously Cutthroat Trout.,,Salmonidae,Oncorhynchus,clarkii,TRUE,FALSE
COMELY SHINER,SHINER,I,N,IV,Y,,,,,Cyprinidae,Notropis,amoenus,TRUE,FALSE
COMMON CARP,OTHRCYPR,NOTYPE,I,OM,N,,,,,Cyprinidae,Cyprinus,carpio,TRUE,FALSE
COMMON SHINER,SHINER,I,N,OM,Y,,,,,Cyprinidae,Luxilus,cornutus,TRUE,FALSE
CREEK CHUB,OTHRCYPR,T,N,GE,Y,,,,,Cyprinidae,Semotilus,atromaculatus,TRUE,FALSE
CUTLIP MINNOW,OTHRCYPR,NOTYPE,N,IV,Y,,,,,Cyprinidae,Exoglossum,maxilingua,TRUE,FALSE
EASTERN CREEK CHUBSUCKER,SUCKER,NOTYPE,N,IV,N,,,Common name changed per Page et al. 2023.  Previously Creek Chubsucker.,,Catostomidae,Erimyzon,oblongus,TRUE,FALSE
EASTERN MOSQUITOFISH,NOTYPE,NOTYPE,N,IV,N,,,,,Poeciliidae,Gambusia,holbrooki,TRUE,FALSE
EASTERN MUDMINNOW,NOTYPE,T,N,IV,N,,,,,Umbridae,Umbra,pygmaea,TRUE,FALSE
EASTERN SILVERY MINNOW,OTHRCYPR,NOTYPE,N,AL,N,,,,,Cyprinidae,Hybognathus,regius,TRUE,FALSE
EMERALD SHINER,SHINER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Notropis,atherinoides,TRUE,FALSE
FALLFISH,OTHRCYPR,I,N,GE,Y,,,,,Cyprinidae,Semotilus,corporalis,TRUE,FALSE
FANTAIL DARTER,DARTER,NOTYPE,N,IS,Y,,2017-10-18,NEW OCCURRENCE,JENKINS AND BURKHEAD,Percidae,Etheostoma,flabellare,TRUE,FALSE
FATHEAD MINNOW,OTHRCYPR,NOTYPE,I,OM,N,,,,,Cyprinidae,Pimephales,promelas,TRUE,FALSE
FLATHEAD CATFISH,NOTYPE,NOTYPE,IC,OM,N,,,,,Ictaluridae,Pylodictis,olivaris,TRUE,FALSE
FLIER,SUNFISH,I,N,IV,N,,,,,Centrarchidae,Centrarchus,macropterus,TRUE,FALSE
FOURSPINE STICKLEBACK,,,,,,,,,,Gasterosteidae,Apeltes,quadracus,TRUE,FALSE
GIZZARD SHAD,NOTYPE,NOTYPE,N,FF,N,,,,,Clupeidae,Dorosoma,cepedianum,TRUE,FALSE
GLASSY DARTER,DARTER,NOTYPE,N,IS,Y,,,,,Percidae,Etheostoma,vitreum,TRUE,FALSE
